Title,Year,Genre,Director,Actors,imdbRating,imdbID,Runtime,Poster,totalSeasons,Country,rating,status,myComment,remember
Infernal Affairs,2002,"Action, Crime, Drama","Andrew Lau, Alan Mak","Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong",8,tt0338564,101 min,https://m.media-amazon.com/images/M/MV5BODMzOGVmZDktMGNjNS00NzJkLWJiZGUtNTU1YTIyMzI4Njc4XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,undefined,Hong Kong,6.5,undefined,,true
Operation Napoleon,2023,"Action, Adventure, Thriller",Óskar Thór Axelsson,"Vivian Ólafsdóttir, Jack Fox, Iain Glen",6,tt15485390,102 min,https://m.media-amazon.com/images/M/MV5BZWIwYzQ2Y2YtOTcxMy00MjA1LWFlYzEtM2ExZjJjODA1YzY0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,undefined,"Iceland, Germany",5,undefined,,true
Godzilla Minus One,2023,"Action, Adventure, Drama",Takashi Yamazaki,"Minami Hamabe, Sakura Andô, Ryunosuke Kamiki",8.3,tt23289160,124 min,https://m.media-amazon.com/images/M/MV5BOTI5MjNjMTMtN2NiNC00YjBlLTgzMWQtMGRhZDZkYmY1NGU2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,undefined,Japan,6.5,undefined,,true
Hard Days,2023,"Crime, Drama, Thriller",Michihito Fujii,"Gô Ayano, Akira Emoto, Ryôko Hirosue",6,tt26594589,118 min,https://m.media-amazon.com/images/M/MV5BMDIyZWZkMWMtNjVlZC00ZWQ2LTg3ODYtMWE2ZTUwZTZmZDNjXkEyXkFqcGdeQXVyNjE4OTY3NTg@._V1_SX300.jpg,undefined,Japan,7.5,undefined,,true
Lesson in Murder,2022,"Crime, Mystery",Kazuya Shiraishi,"Sadao Abe, Shimako Iwai, Takanori Iwata",6.3,tt18815700,128 min,https://m.media-amazon.com/images/M/MV5BNmI3ZDhhYzctYjJkYS00ZmQzLWIwYzgtN2Y2OWRjZTE2Yjg0XkEyXkFqcGdeQXVyNjE4OTY3NTg@._V1_SX300.jpg,undefined,Japan,6.5,undefined,,true
A Day,2017,"Drama, Mystery, Thriller","Sun-ho Cho, Jo Seon-Ho, Jo Sun-Ho","Kim Myung-min, Byun Yo-han, Shin Hye-sun",6.8,tt6890376,90 min,https://m.media-amazon.com/images/M/MV5BOGY5N2E3YzMtMDBlMy00YTQ1LWE4MjAtZTMyZWNhYWIwNDhkXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,undefined,South Korea,7.5,undefined,,true
Badland Hunters,2024,"Action, Adventure, Drama",Heo Myeong Haeng,"Ma Dong-seok, No Jeong-ee, Lee Joon-young",6,tt29722855,107 min,https://m.media-amazon.com/images/M/MV5BYTNiYmEyNmMtMzI4OS00OWEyLTg2N2EtNTE1YzgxZmNiOTA4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,undefined,South Korea,7,undefined,,true
Concrete Utopia,2023,"Action, Adventure, Drama",Tae-hwa Eom,"Park Seo-joon, Lee Byung-hun, Park Bo-young",6.7,tt13086266,130 min,https://m.media-amazon.com/images/M/MV5BNGM2ZTdmNDItMzk1Zi00NjAxLWE5MmUtNTFjMDg1YThkZDA1XkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,7,undefined,,true
Dead Man,2024,"Crime, Mystery, Thriller",Ha Joon Won,"Lee Chang-won, Sooyoung Choi, Han Dong Gyu",N/A,tt30830309,109 min,https://m.media-amazon.com/images/M/MV5BZWNjYTg1NjMtMWMyZS00NjQ1LWEwNGYtNTQ3MTA5MzkxNTliXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
Decision to Leave,2022,"Crime, Drama, Mystery",Park Chan-wook,"Park Hae-il, Tang Wei, Lee Jung-hyun",7.3,tt12477480,139 min,https://m.media-amazon.com/images/M/MV5BOTEzYTljMTMtODU0ZC00ZWI0LTlhOGEtYjE3MjI3NTI1YmNhXkEyXkFqcGdeQXVyNjgxODk1MTM@._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
